type,name,city,region,postalCode,url,min,max
"domaine-mariage","Domaine des Sibourgs","Bourdeaux","Drôme","26460","https://www.mariages.net/domaine-mariage/domaine-des-sibourgs--e191443",10,130
"salle-mariage","Maison Després","Saint-Étienne-des-Oullières","Rhône","69460","https://www.mariages.net/salle-mariage/maison-despres--e157984",20,120
"salle-mariage","L'Orangerie","Montéléger","Drôme","26760","https://www.mariages.net/salle-mariage/lorangerie--e278066",1,120
"domaine-mariage","Les Larmes du Soleil","Blacé","Rhône","69460","https://www.mariages.net/domaine-mariage/les-larmes-du-soleil--e361865",20,150
"domaine-mariage","Villa Rose","Sainte-Catherine","Rhône","69440","https://www.mariages.net/domaine-mariage/villa-rose--e292348",30,100
"hotel-mariage","HYP Hôtel","Saint-Marcellin","Isère","38160","https://www.mariages.net/hotel-mariage/hyp-hotel--e323372",1,150
"domaine-mariage","Domaine Flor’Alpes","La Giettaz","Savoie","73590","https://www.mariages.net/domaine-mariage/domaine-flor-alpes--e353209",20,100
"hotel-mariage","Hôtel la Chaudanne ****","Les Allues","Savoie","73550","https://www.mariages.net/hotel-mariage/hotel-la-chaudanne--e210749",50,180
"domaine-mariage","Domaine de Marzé","Saint-Georges-de-Reneins","Rhône","69830","https://www.mariages.net/domaine-mariage/domaine-de-marze--e195645",50,120
"salle-mariage","Les Tables d'Ophélie","Trept","Isère","38460","https://www.mariages.net/salle-mariage/les-tables-dophelie--e46477",30,130
"domaine-mariage","Les Maisons du Bonheur","Fleurie","Rhône","69820","https://www.mariages.net/domaine-mariage/les-maisons-du-bonheur--e128454",0,70
"salle-mariage","Le Rocher de la Baronne","Parmilieu","Isère","38390","https://www.mariages.net/salle-mariage/le-rocher-de-la-baronne--e349631",1,80
"domaine-mariage","Château Le Gâtelet","Peyrins","Drôme","26380","https://www.mariages.net/domaine-mariage/chateau-le-gatelet--e195417",0,120
"domaine-mariage","Le Clos des Sources","Saint-Thomas-en-Royans","Drôme","26190","https://www.mariages.net/domaine-mariage/le-clos-des-sources--e15472",0,150
"restaurant-mariage","La Terre de Bellevarde","Duingt","Haute-Savoie","74410","https://www.mariages.net/restaurant-mariage/la-terre-de-bellevarde--e247451",30,200
"salle-mariage","Fort de La Bastille","Grenoble","Isère","38000","https://www.mariages.net/salle-mariage/fort-de-la-bastille--e160700",50,200
"domaine-mariage","Le Parc des Vallières","Vourles","Rhône","69390","https://www.mariages.net/domaine-mariage/le-parc-des-vallieres--e196709",50,180
"salle-mariage","Victoria Salle de réception","Saint-Péray","Ardèche","07130","https://www.mariages.net/salle-mariage/victoria-salle-de-reception--e138067",80,300
"domaine-mariage","L'étang de la Tourne","Les Marches","Savoie","73800","https://www.mariages.net/domaine-mariage/letang-de-la-tourne--e247645",0,70
"chateau-mariage","Manoir de Tourville","Les Halles","Rhône","69610","https://www.mariages.net/chateau-mariage/manoir-de-tourville--e7393",1,280
"chateau-mariage","Château de Champ-Renard","Blacé","Rhône","69460","https://www.mariages.net/chateau-mariage/chateau-de-champ-renard--e248999",2,180
"domaine-mariage","La Grange","Marsanne","Drôme","26740","https://www.mariages.net/domaine-mariage/la-grange--e279886",0,200
"chateau-mariage","Château de Matel","Roanne","Loire","42300","https://www.mariages.net/chateau-mariage/chateau-de-matel--e8036",0,200
